Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
7-7000011698629-1;08.04.2024;2009047368;COD;Torsk;04;Vest-Finnmark;22;66.0
7-7000011698629-2;08.04.2024;2009047368;COD;Torsk;04;Vest-Finnmark;22;75.0
7-7000011698629-3;08.04.2024;2009047368;COD;Torsk;04;Vest-Finnmark;22;982.5
7-7000011698629-4;08.04.2024;2009047368;COD;Torsk;04;Vest-Finnmark;22;282.0
7-7000011698648-4;08.04.2024;1986010344;COD;Torsk;04;Vest-Finnmark;22;25.5
7-7000011698594-1;08.04.2024;2010052588;COD;Torsk;05;Røstbanken til Malangsgrunnen;61;2650.5
7-7000011698594-2;08.04.2024;2010052588;COD;Torsk;05;Røstbanken til Malangsgrunnen;61;3289.5
7-7000011698594-3;08.04.2024;2010052588;COD;Torsk;05;Røstbanken til Malangsgrunnen;61;3196.5
7-7000011698594-4;08.04.2024;2010052588;COD;Torsk;05;Røstbanken til Malangsgrunnen;61;0.0
7-7000011698618-1;08.04.2024;1976006228;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;584.0
7-7000011698618-2;08.04.2024;1976006228;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;2923.0
7-7000011698618-3;08.04.2024;1976006228;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;2339.0
7-7000011698656-1;08.04.2024;1995001342;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;88.0
7-7000011698656-2;08.04.2024;1995001342;COD;Torsk;05;Røstbanken til Malangsgrunnen;22;400.0
7-7000011698630-4;08.04.2024;1987005358;COD;Torsk;06;Helgelandsbanken;22;58.5
7-7000011698630-5;08.04.2024;1987005358;COD;Torsk;06;Helgelandsbanken;22;12.0
7-7000011698633-3;08.04.2024;1996005344;COD;Torsk;06;Helgelandsbanken;22;73.5
7-7000011698633-8;08.04.2024;1996005344;COD;Torsk;06;Helgelandsbanken;22;94.5
7-7000011698647-3;08.04.2024;;COD;Torsk;06;Helgelandsbanken;32;48.0
7-7000011698664-1;08.04.2024;1976000510;COD;Torsk;06;Helgelandsbanken;22;63.0
7-7000011698664-2;08.04.2024;1976000510;COD;Torsk;06;Helgelandsbanken;22;85.5
7-7000011698685-1;08.04.2024;2001015483;COD;Torsk;06;Helgelandsbanken;22;75.52
7-7000011698740-7;08.04.2024;1981006794;COD;Torsk;06;Helgelandsbanken;22;55.5
6-264596-1;08.04.2024;2018107333;COD;Torsk;07;Storegga-Frøyabanken;20;167.56
6-264604-1;08.04.2024;;COD;Torsk;07;Storegga-Frøyabanken;20;23.6
6-264618-4;08.04.2024;2019108973;COD;Torsk;07;Storegga-Frøyabanken;20;519.0
6-264633-3;08.04.2024;2000000211;COD;Torsk;07;Storegga-Frøyabanken;20;40.12
6-264637-1;08.04.2024;1999010936;COD;Torsk;07;Storegga-Frøyabanken;33;255.0
6-264640-1;08.04.2024;1996000076;COD;Torsk;07;Storegga-Frøyabanken;61;1615.5
6-264640-2;08.04.2024;1996000076;COD;Torsk;07;Storegga-Frøyabanken;61;555.0
6-264643-6;08.04.2024;2011054868;COD;Torsk;07;Storegga-Frøyabanken;20;56.64
